Fund Custody Code;External Fund Identifier;Fund Name;Trade Date;Value Date;IBAN;Account Type;Currency;Amount;Reversal Flag;Transaction Type;Transaction ID
1505;DB3888Z9173803;CHALLENGE ENERGYFD;30112015;30112015;EMEM ME22 8888 8200 8288 2000;CABR;AUD;34.63;N;S2;
1505;DB3888Z9173803;CHALLENGE ENERGYFD;30112015;30112015;EMEM ME88 8888 8200 8282 2200;CABR;USD;1480;N;EE;001505EEA0193000
1510;DB3787Z9173803;CHALLENGE FINANCIAL FD;30112015;30112015;EMEM ME22 8882 8200 8288 2000;CABR;AUD;5.96;N;S2;
1510;DB3787Z9173803;CHALLENGE FINANCIAL FD;30112015;30112015;EMEM ME82 8882 8200 8280 0200;CABR;ILS;-10.93;N;S1;
1510;DB3787Z9173803;CHALLENGE FINANCIAL FD;30112015;30112015;EMEM ME28 8882 8200 8282 8200;CABR;EUR;-4.24;N;S1;
1510;DB3787Z9173803;CHALLENGE FINANCIAL FD;30112015;30112015;EMEM ME82 8882 8200 8280 2000;CABR;USD;0.06;N;S2;
1510;DB3787Z9173803;CHALLENGE FINANCIAL FD;30112015;30112015;EMEM ME20 8882 8200 8282 2800;CABR;GBP;3.45;N;S2;
1510;DB3787Z9173803;CHALLENGE FINANCIAL FD;30112015;30112015;EMEM ME82 8882 8200 8280 2200;CABR;CHF;-3.18;N;S1;
1510;DB3787Z9173803;CHALLENGE FINANCIAL FD;30112015;30112015;EMEM ME28 8882 8200 8288 2800;CABR;SEK;-24.35;N;S1;
1510;DB3787Z9173803;CHALLENGE FINANCIAL FD;30112015;30112015;EMEM ME28 8882 8200 8288 8200;CABR;NOK;8.59;N;S2;
1510;DB3787Z9173803;CHALLENGE FINANCIAL FD;30112015;30112015;EMEM ME82 8882 8200 8282 2200;CABR;NZD;0.09;N;S2;
1510;DB3787Z9173803;CHALLENGE FINANCIAL FD;30112015;30112015;EMEM ME28 8882 8200 8282 2200;CABR;JPY;-313;N;S1;
1510;DB3787Z9173803;CHALLENGE FINANCIAL FD;30112015;30112015;EMEM ME88 8882 8200 8288 8200;CABR;DKK;-12.57;N;S1;
1510;DB3787Z9173803;CHALLENGE FINANCIAL FD;30112015;30112015;EMEM ME22 8882 8200 8288 2800;CABR;CAD;6.45;N;S2;
1510;DB3787Z9173803;CHALLENGE FINANCIAL FD;30112015;30112015;EMEM ME82 8882 8200 8280 2000;CABR;USD;60;N;EE;001510EEA0434000
627;DB8814Z9173803;CHALLENGE PACIFIC EQUITY;30112015;30112015;EMEM ME28 8882 8828 8822 2800;CABR;AUD;672.48;N;S2;
627;DB8814Z9173803;CHALLENGE PACIFIC EQUITY;30112015;30112015;EMEM ME22 8882 8828 8828 2200;CABR;JPY;-17965;N;S1;
627;DB8814Z9173803;CHALLENGE PACIFIC EQUITY;30112015;30112015;EMEM ME28 8882 8828 8828 2200;CABR;EUR;-0.88;N;S1;
627;DB8814Z9173803;CHALLENGE PACIFIC EQUITY;30112015;30112015;EMEM ME02 8882 8828 8822 2200;CABR;GBP;0.26;N;S2;
627;DB8814Z9173803;CHALLENGE PACIFIC EQUITY;30112015;30112015;EMEM ME28 8882 8828 8828 8200;CABR;NZD;167.78;N;S2;
627;DB8814Z9173803;CHALLENGE PACIFIC EQUITY;30112015;1122015;EMEM ME28 8882 8828 8822 2800;CABR;AUD;-2375;N;SE;000627SEA1618000
627;DB8814Z9173803;CHALLENGE PACIFIC EQUITY;30112015;1122015;EMEM ME22 8882 8828 8822 8200;CABR;SGD;-3920;N;SE;000627SEA1615000
